"Published.age","Published.temperature","Sed.acc.rate.cm.ka","Proxy.value"
4334.2857,28.92,36.79,4.346
4527.4286,29.2,36.75,4.46
4575.7143,29.15,36.77,4.442
4720.5714,28.55,36.77,4.195
4913.7143,28.33,36.7,4.109
4994.4,29.44,36.67,4.564
5091.6,28.36,36.67,4.12
5156.4,29.06,36.64,4.403
5253.6,28.11,36.61,4.022
5318.4,29.14,36.57,4.435
5415.6,28.32,36.55,4.104
5480.4,29.75,36.4,4.703
5577.6,28.67,35.9,4.243
5642.4,28.52,35.31,4.182
5739.6,28.24,34.22,4.073
5804.4,29.59,33.27,4.631
5901.6,28.63,31.66,4.226
5966.4,28.96,30.44,4.363
6031.2,29.54,29.12,4.608
6063.6,28.25,28.41,4.079
6128.4,30.03,26.94,4.826
6193.2,29.32,25.44,4.515
6258,28.88,23.86,4.328
6290.4,29.3,23.11,4.503
6355.2,29.19,21.56,4.459
6387.6,28.86,20.78,4.322
6481,29.62,19.04,4.642
6603,29.03,17.19,4.393
6664,28.78,16.29,4.287
6786,29.55,14.63,4.613
6969,29.28,12.49,4.495
7030,28.2,11.89,4.058
7091,28.47,11.32,4.162
7152,28.83,10.82,4.308
7332.0213,28.63,9.95,4.228
7390.0426,28.75,9.9,4.276
7448.0638,28.65,9.84,4.233
7680.1489,28.58,9.71,4.205
7738.1702,28.74,9.69,4.271
7912.234,28.9,9.59,4.337
7970.2553,29.09,9.55,4.415
8086.2979,28.99,8.66,4.372
8260.3617,29.06,11.65,4.404
8550.4681,28.99,22.23,4.373
8666.5106,28.48,22.89,4.166
8724.5319,29.12,23.23,4.429
8840.5745,29.53,23.92,4.604
8956.617,29.72,24.59,4.689
9014.6383,29.07,24.92,4.406
9072.6596,29.26,25.25,4.488
9130.6809,29.23,25.58,4.475
9188.7021,29.33,25.91,4.518
9246.7234,30.07,26.22,4.845
9362.766,29.83,26.84,4.74
9420.7872,29.42,27.13,4.556
9478.8085,29.19,27.41,4.457
9536.8298,28.61,27.69,4.219
9652.8723,28.86,28.21,4.322
9710.8936,29.61,28.45,4.64
9768.9149,28.76,28.68,4.281
9826.9362,29.3,28.9,4.506
9884.9574,29.1,29.1,4.421
9942.9787,28.72,29.29,4.265
10035.8,29.04,29.69,4.396
10070.6,29.8,29.88,4.722
10105.4,28.65,30.04,4.236
10175,29.2,30.3,4.462
10209.8,28.7,30.38,4.254
10244.6,29.37,30.44,4.534
10279.4,28.89,30.48,4.331
10314.2,28.49,30.48,4.173
10349,28.78,30.47,4.289
10383.8,29.3,30.42,4.506
10418.6,29.36,30.36,4.53
10453.4,29.41,30.27,4.55
10488.2,28.99,30.16,4.374
10557.8,29.63,29.87,4.65
10592.6,28.98,29.7,4.369
10627.4,28.98,29.51,4.369
10662.2,29.65,29.31,4.657
10731.8,29.36,28.85,4.53
10766.6,28.83,28.6,4.309
10801.4,28.72,28.33,4.262
10836.2,29.05,28.05,4.4
10871,28.87,27.77,4.326
10905.8,29.46,27.48,4.574
10940.6,29.25,27.18,4.484
10975.4,29.19,26.88,4.459
11010.2,29.9,26.58,4.768
11058.5,29.53,25.99,4.604
11072,30.11,25.7,4.867
11085.5,30.04,25.42,4.832
11112.5,29.21,24.86,4.466
11126,29.15,24.6,4.44
