"age.yr.bp","temperature","temperature.rescaled"
96,-31.3724657156865,-1.76767362515541
97,-31.3750841073628,-1.76746729184419
98,-31.377695354407,-1.76726152154103
99,-31.3803066014512,-1.76705575123786
100,-31.3829178484954,-1.76684998093469
101,-31.3855290955396,-1.76664421063152
102,-31.3881403425838,-1.76643844032835
103,-31.390751589628,-1.76623267002518
104,-31.3933628366721,-1.76602689972201
105,-31.3959740837163,-1.76582112941884
106,-31.3985858903679,-1.76561531501775
107,-31.4007998045759,-1.76544085515621
108,-31.3986868382008,-1.76560736017248
109,-31.3953897200025,-1.76586717818271
110,-31.3921029179074,-1.76612618326807
111,-31.3888161158122,-1.76638518835343
112,-31.3855291581521,-1.76664420569756
113,-31.3824061304578,-1.76689030510699
114,-31.3812459996896,-1.76698172520469
115,-31.3806618785534,-1.76702775485307
116,-31.3800725216888,-1.76707419708494
117,-31.3794831648242,-1.76712063931681
118,-31.3788935500834,-1.76716710186973
119,-31.3788157029196,-1.76717323634656
120,-31.3867860669636,-1.76654515934046
121,-31.3976722170063,-1.76568731389086
122,-31.4085293669052,-1.76483175369742
123,-31.4193865168041,-1.76397619350398
124,-31.430243666703,-1.76312063331054
125,-31.4410923966022,-1.76226573662608
126,-31.4506609934477,-1.76151171640492
127,-31.4591455995345,-1.760843116331
128,-31.4676337908374,-1.76017423373652
129,-31.4761219821403,-1.75950535114203
130,-31.4846101734432,-1.75883646854755
131,-31.4930983647461,-1.75816758595306
132,-31.5015631775106,-1.75750054562354
133,-31.5083366121325,-1.75696678850594
134,-31.5138743105974,-1.75653040930753
135,-31.5194192325611,-1.75609346088626
136,-31.5249641545248,-1.75565651246498
137,-31.5305090764885,-1.75521956404371
138,-31.5360473338734,-1.75478314080154
139,-31.5422654453435,-1.75429314400664
140,-31.5504437342503,-1.75364868219998
141,-31.5587548473347,-1.75299375364281
142,-31.5670658810136,-1.75233883134292
143,-31.5753769146925,-1.75168390904303
144,-31.5836880484563,-1.7510289788563
145,-31.5919343814555,-1.75037915506998
146,-31.5994915702009,-1.74978363691603
147,-31.6068627269688,-1.74920277836946
148,-31.6142354882682,-1.74862179338333
149,-31.6216082495675,-1.74804080839719
150,-31.6289810108668,-1.74745982341106
151,-31.6363537721661,-1.74687883842493
152,-31.6439128620782,-1.74628317045611
153,-31.6556262683547,-1.74536013593664
154,-31.6691852183345,-1.74429166972077
155,-31.6827256032783,-1.74322466645844
156,-31.696265988222,-1.74215766319611
157,-31.7098063731658,-1.74109065993377
158,-31.7233467581096,-1.74002365667144
