"Depth.cm","Age.ka","N","Instrument.var","Sample.var","Corrected.var"
0,0,28,0.025,0.35,0.325
2,2,18,0.003,0.573,0.57
120,104.4,29,0.004,0.074,0.07
124,112.2,28,0.015,0.106,0.091
129,119.7,19,0.009,0.047,0.038
131,120.6,17,0.012,0.087,0.075
136,122.7,21,0.003,0.142,0.139
142,125.3,20,0.025,0.274,0.249
146,127.6,20,0.006,0.44,0.434
150,130.7,20,0.006,0.421,0.415
154,132.9,19,0.012,0.482,0.47
156,133.9,20,0.009,0.368,0.359
160,138,19,0.009,0.32,0.311
164,142.7,20,0.009,0.178,0.169
168,147.4,21,0.009,0.119,0.11
172,152.1,20,0.006,0.226,0.22
176,155.9,30,0.015,0.122,0.107
182,158.7,20,0.012,0.061,0.049
184,159.7,18,0.009,0.183,0.174
188,161.6,19,0.025,0.162,0.137
194,164.4,21,0.003,0.101,0.098
202,170.1,28,0.004,0.067,0.063
